:Data_list: 20150325_Gp_mag_1m.txt
:Created: 2015 Mar 26 0010 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Hp component = perpendicular to the satellite orbital plane or
#           parallel to the Earth's spin axis
# Label: He component = perpendicular to Hp and directed earthwards
# Label: Hn component = perpendicular to both Hp and He, directed eastwards
# Label: Total Field  = 
# Units: nanotesla (nT)
# Source: GOES-13
# Location: W075
# Missing data: -1.00e+05
#
#         1-minute GOES-13 Geomagnetic Components and Total Field
#
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day        Hp          He          Hn    Total Field
#-------------------------------------------------------------------------------
2015 03 25  0118   57106   4680     8.47e+01    4.75e+01   -6.54e+00    9.73e+01
2015 03 25  0119   57106   4740     8.42e+01    4.77e+01   -6.67e+00    9.70e+01
2015 03 25  0120   57106   4800     8.45e+01    4.75e+01   -6.32e+00    9.71e+01
2015 03 25  0121   57106   4860     8.39e+01    4.72e+01   -5.89e+00    9.64e+01
2015 03 25  0122   57106   4920     8.39e+01    4.73e+01   -6.23e+00    9.65e+01
2015 03 25  0123   57106   4980     8.34e+01    4.78e+01   -5.99e+00    9.63e+01
2015 03 25  0124   57106   5040     8.30e+01    4.76e+01   -6.02e+00    9.59e+01
2015 03 25  0125   57106   5100     8.27e+01    4.75e+01   -6.07e+00    9.56e+01
2015 03 25  0126   57106   5160     8.23e+01    4.77e+01   -5.78e+00    9.53e+01
2015 03 25  0127   57106   5220     8.22e+01    4.72e+01   -5.71e+00    9.50e+01
2015 03 25  0128   57106   5280     8.19e+01    4.75e+01   -5.69e+00    9.48e+01
2015 03 25  0129   57106   5340     8.16e+01    4.77e+01   -5.73e+00    9.47e+01
2015 03 25  0130   57106   5400     8.12e+01    4.75e+01   -5.61e+00    9.43e+01
2015 03 25  0131   57106   5460     8.05e+01    4.77e+01   -5.51e+00    9.38e+01
2015 03 25  0132   57106   5520     8.06e+01    4.77e+01   -5.61e+00    9.39e+01
2015 03 25  0133   57106   5580     8.04e+01    4.80e+01   -5.81e+00    9.38e+01
2015 03 25  0134   57106   5640     8.00e+01    4.81e+01   -5.92e+00    9.35e+01
2015 03 25  0135   57106   5700     7.96e+01    4.81e+01   -5.81e+00    9.32e+01
2015 03 25  0136   57106   5760     7.93e+01    4.84e+01   -5.63e+00    9.31e+01
2015 03 25  0137   57106   5820     7.91e+01    4.83e+01   -5.71e+00    9.29e+01
2015 03 25  0138   57106   5880     7.91e+01    4.84e+01   -5.89e+00    9.29e+01
2015 03 25  0139   57106   5940     7.87e+01    4.89e+01   -5.86e+00    9.29e+01
2015 03 25  0140   57106   6000     7.87e+01    4.85e+01   -6.04e+00    9.27e+01
2015 03 25  0141   57106   6060     7.84e+01    4.84e+01   -6.14e+00    9.23e+01
2015 03 25  0142   57106   6120     7.79e+01    4.86e+01   -6.13e+00    9.20e+01
2015 03 25  0143   57106   6180     7.75e+01    4.90e+01   -5.77e+00    9.19e+01
2015 03 25  0144   57106   6240     7.72e+01    4.90e+01   -5.80e+00    9.16e+01
2015 03 25  0145   57106   6300     7.67e+01    4.89e+01   -5.86e+00    9.12e+01
2015 03 25  0146   57106   6360     7.58e+01    4.88e+01   -5.86e+00    9.04e+01
2015 03 25  0147   57106   6420     7.51e+01    4.88e+01   -5.67e+00    8.98e+01
2015 03 25  0148   57106   6480     7.47e+01    4.89e+01   -5.54e+00    8.94e+01
2015 03 25  0149   57106   6540     7.42e+01    4.93e+01   -5.74e+00    8.93e+01
2015 03 25  0150   57106   6600     7.37e+01    4.96e+01   -5.80e+00    8.90e+01
2015 03 25  0151   57106   6660     7.34e+01    5.00e+01   -5.77e+00    8.90e+01
2015 03 25  0152   57106   6720     7.26e+01    4.99e+01   -5.55e+00    8.83e+01
2015 03 25  0153   57106   6780     7.19e+01    4.99e+01   -5.19e+00    8.77e+01
2015 03 25  0154   57106   6840     7.16e+01    5.00e+01   -5.25e+00    8.75e+01
2015 03 25  0155   57106   6900     7.13e+01    5.02e+01   -4.90e+00    8.74e+01
2015 03 25  0156   57106   6960     7.03e+01    5.09e+01   -4.17e+00    8.69e+01
2015 03 25  0157   57106   7020     6.63e+01    4.94e+01   -3.11e+00    8.28e+01
2015 03 25  0158   57106   7080     6.34e+01    4.90e+01   -2.02e+00    8.01e+01
2015 03 25  0159   57106   7140     6.26e+01    4.94e+01   -1.46e+00    7.97e+01
2015 03 25  0200   57106   7200     6.28e+01    5.02e+01   -1.68e+00    8.04e+01
2015 03 25  0201   57106   7260     6.32e+01    5.06e+01   -2.85e+00    8.11e+01
2015 03 25  0202   57106   7320     6.26e+01    4.98e+01   -3.92e+00    8.01e+01
2015 03 25  0203   57106   7380     6.24e+01    5.11e+01   -4.28e+00    8.07e+01
2015 03 25  0204   57106   7440     6.06e+01    5.02e+01   -3.81e+00    7.87e+01
2015 03 25  0205   57106   7500     6.01e+01    5.03e+01   -3.44e+00    7.84e+01
2015 03 25  0206   57106   7560     5.96e+01    5.05e+01   -1.91e+00    7.81e+01
2015 03 25  0207   57106   7620     5.85e+01    5.12e+01    2.50e-01    7.77e+01
2015 03 25  0208   57106   7680     5.71e+01    5.12e+01    1.52e+00    7.67e+01
2015 03 25  0209   57106   7740     5.77e+01    5.27e+01    3.37e-01    7.82e+01
2015 03 25  0210   57106   7800     5.91e+01    5.43e+01   -1.54e+00    8.03e+01
2015 03 25  0211   57106   7860     5.93e+01    5.29e+01   -2.45e+00    7.95e+01
2015 03 25  0212   57106   7920     5.88e+01    5.42e+01   -2.17e+00    7.99e+01
2015 03 25  0213   57106   7980     5.83e+01    5.51e+01   -1.80e+00    8.02e+01
2015 03 25  0214   57106   8040     5.80e+01    5.46e+01   -1.74e+00    7.97e+01
2015 03 25  0215   57106   8100     6.00e+01    5.66e+01   -2.43e+00    8.25e+01
2015 03 25  0216   57106   8160     6.06e+01    5.67e+01   -2.72e+00    8.31e+01
2015 03 25  0217   57106   8220     5.88e+01    5.52e+01   -2.15e+00    8.07e+01
2015 03 25  0218   57106   8280     5.69e+01    5.46e+01    2.25e+00    7.89e+01
2015 03 25  0219   57106   8340     5.95e+01    5.43e+01    2.33e+00    8.06e+01
2015 03 25  0220   57106   8400     5.93e+01    5.26e+01   -8.66e-01    7.93e+01
2015 03 25  0221   57106   8460     6.07e+01    5.35e+01   -1.32e+00    8.10e+01
2015 03 25  0222   57106   8520     6.14e+01    5.40e+01   -1.09e+00    8.18e+01
2015 03 25  0223   57106   8580     6.11e+01    5.43e+01   -1.60e+00    8.18e+01
2015 03 25  0224   57106   8640     6.13e+01    5.41e+01   -2.42e+00    8.18e+01
2015 03 25  0225   57106   8700     6.25e+01    5.41e+01   -2.76e+00    8.27e+01
2015 03 25  0226   57106   8760     6.26e+01    5.42e+01   -3.20e+00    8.29e+01
2015 03 25  0227   57106   8820     6.26e+01    5.38e+01   -2.92e+00    8.25e+01
2015 03 25  0228   57106   8880     6.23e+01    5.32e+01   -2.72e+00    8.20e+01
2015 03 25  0229   57106   8940     6.35e+01    5.34e+01   -3.01e+00    8.30e+01
2015 03 25  0230   57106   9000     6.49e+01    5.42e+01   -2.54e+00    8.46e+01
2015 03 25  0231   57106   9060     6.51e+01    5.43e+01   -2.60e+00    8.48e+01
2015 03 25  0232   57106   9120     6.22e+01    5.29e+01   -2.12e+00    8.17e+01
2015 03 25  0233   57106   9180     6.03e+01    5.28e+01    1.75e-02    8.02e+01
2015 03 25  0234   57106   9240     6.11e+01    5.43e+01    1.36e+00    8.18e+01
2015 03 25  0235   57106   9300     5.91e+01    5.44e+01    2.10e+00    8.04e+01
2015 03 25  0236   57106   9360     5.71e+01    5.38e+01    4.55e+00    7.86e+01
2015 03 25  0237   57106   9420     5.72e+01    5.41e+01    3.70e+00    7.88e+01
2015 03 25  0238   57106   9480     5.77e+01    5.37e+01    2.41e+00    7.89e+01
2015 03 25  0239   57106   9540     5.83e+01    5.32e+01    5.54e-01    7.90e+01
2015 03 25  0240   57106   9600     5.91e+01    5.42e+01   -4.59e-01    8.02e+01
2015 03 25  0241   57106   9660     5.95e+01    5.47e+01   -1.57e+00    8.08e+01
2015 03 25  0242   57106   9720     6.09e+01    5.51e+01   -2.06e+00    8.22e+01
2015 03 25  0243   57106   9780     5.97e+01    5.50e+01   -2.07e+00    8.12e+01
2015 03 25  0244   57106   9840     6.03e+01    5.63e+01   -6.98e-01    8.25e+01
2015 03 25  0245   57106   9900     5.96e+01    5.64e+01   -8.16e-01    8.21e+01
2015 03 25  0246   57106   9960     5.88e+01    5.61e+01   -1.30e+00    8.13e+01
2015 03 25  0247   57106  10020     5.71e+01    5.51e+01   -9.62e-01    7.94e+01
2015 03 25  0248   57106  10080     5.72e+01    5.57e+01   -2.74e-01    7.98e+01
2015 03 25  0249   57106  10140     5.77e+01    5.58e+01   -7.19e-01    8.03e+01
2015 03 25  0250   57106  10200     5.85e+01    5.64e+01   -1.43e+00    8.12e+01
2015 03 25  0251   57106  10260     5.92e+01    5.69e+01   -1.49e+00    8.21e+01
2015 03 25  0252   57106  10320     6.01e+01    5.72e+01   -2.04e+00    8.30e+01
2015 03 25  0253   57106  10380     6.01e+01    5.66e+01   -1.85e+00    8.25e+01
2015 03 25  0254   57106  10440     6.02e+01    5.70e+01   -9.45e-01    8.29e+01
2015 03 25  0255   57106  10500     5.94e+01    5.60e+01   -1.48e+00    8.16e+01
2015 03 25  0256   57106  10560     5.88e+01    5.51e+01   -1.63e+00    8.06e+01
2015 03 25  0257   57106  10620     5.90e+01    5.61e+01    7.96e-01    8.14e+01
2015 03 25  0258   57106  10680     5.69e+01    5.58e+01    3.07e+00    7.98e+01
2015 03 25  0259   57106  10740     5.70e+01    5.58e+01    3.71e+00    7.99e+01
2015 03 25  0300   57106  10800     5.90e+01    5.65e+01    1.45e+00    8.17e+01
2015 03 25  0301   57106  10860     6.03e+01    5.63e+01    7.13e-01    8.25e+01
2015 03 25  0302   57106  10920     6.09e+01    5.52e+01    3.57e-01    8.22e+01
2015 03 25  0303   57106  10980     6.15e+01    5.64e+01   -1.97e+00    8.35e+01
2015 03 25  0304   57106  11040     6.20e+01    5.72e+01   -3.09e+00    8.44e+01
2015 03 25  0305   57106  11100     6.36e+01    5.66e+01   -1.80e+00    8.52e+01
2015 03 25  0306   57106  11160     6.35e+01    5.49e+01   -1.40e+00    8.39e+01
2015 03 25  0307   57106  11220     6.39e+01    5.64e+01   -3.66e+00    8.53e+01
2015 03 25  0308   57106  11280     6.44e+01    5.69e+01   -3.20e+00    8.60e+01
2015 03 25  0309   57106  11340     6.54e+01    5.68e+01   -1.10e+00    8.66e+01
2015 03 25  0310   57106  11400     6.47e+01    5.66e+01   -1.63e+00    8.60e+01
2015 03 25  0311   57106  11460     6.41e+01    5.63e+01   -1.85e+00    8.53e+01
2015 03 25  0312   57106  11520     6.29e+01    5.57e+01   -2.57e-01    8.40e+01
2015 03 25  0313   57106  11580     6.25e+01    5.51e+01   -3.05e-01    8.33e+01
2015 03 25  0314   57106  11640     6.31e+01    5.52e+01   -1.38e+00    8.39e+01
2015 03 25  0315   57106  11700     6.38e+01    5.48e+01   -1.38e+00    8.41e+01
2015 03 25  0316   57106  11760     6.45e+01    5.55e+01   -1.25e+00    8.51e+01
2015 03 25  0317   57106  11820     6.43e+01    5.55e+01   -1.61e+00    8.49e+01
2015 03 25  0318   57106  11880     6.43e+01    5.53e+01   -8.37e-01    8.48e+01
2015 03 25  0319   57106  11940     6.34e+01    5.45e+01   -2.21e-01    8.36e+01
2015 03 25  0320   57106  12000     6.31e+01    5.47e+01    2.96e-01    8.35e+01
2015 03 25  0321   57106  12060     6.25e+01    5.41e+01   -9.26e-03    8.27e+01
2015 03 25  0322   57106  12120     6.22e+01    5.38e+01    8.47e-02    8.22e+01
2015 03 25  0323   57106  12180     6.23e+01    5.35e+01   -3.54e-01    8.22e+01
2015 03 25  0324   57106  12240     6.28e+01    5.34e+01   -5.05e-01    8.24e+01
2015 03 25  0325   57106  12300     6.37e+01    5.41e+01   -3.45e-01    8.35e+01
2015 03 25  0326   57106  12360     6.32e+01    5.37e+01   -6.11e-01    8.30e+01
2015 03 25  0327   57106  12420     6.45e+01    5.43e+01   -1.07e+00    8.43e+01
2015 03 25  0328   57106  12480     6.21e+01    5.27e+01   -8.62e-01    8.15e+01
2015 03 25  0329   57106  12540     6.21e+01    5.28e+01   -3.26e-01    8.16e+01
2015 03 25  0330   57106  12600     6.26e+01    5.27e+01   -2.52e-01    8.18e+01
2015 03 25  0331   57106  12660     6.42e+01    5.38e+01   -1.37e+00    8.37e+01
2015 03 25  0332   57106  12720     6.51e+01    5.41e+01   -6.60e-01    8.47e+01
2015 03 25  0333   57106  12780     6.37e+01    5.37e+01   -6.63e-01    8.33e+01
2015 03 25  0334   57106  12840     6.32e+01    5.39e+01   -5.91e-01    8.31e+01
2015 03 25  0335   57106  12900     6.39e+01    5.45e+01   -9.67e-01    8.40e+01
2015 03 25  0336   57106  12960     6.48e+01    5.45e+01   -2.10e+00    8.47e+01
2015 03 25  0337   57106  13020     6.40e+01    5.33e+01   -2.51e+00    8.34e+01
2015 03 25  0338   57106  13080     6.34e+01    5.28e+01   -6.57e-01    8.25e+01
2015 03 25  0339   57106  13140     6.39e+01    5.38e+01   -8.18e-01    8.35e+01
2015 03 25  0340   57106  13200     6.44e+01    5.37e+01   -1.54e+00    8.39e+01
2015 03 25  0341   57106  13260     6.34e+01    5.28e+01   -1.05e+00    8.25e+01
2015 03 25  0342   57106  13320     6.15e+01    5.18e+01   -1.55e+00    8.04e+01
2015 03 25  0343   57106  13380     6.17e+01    5.14e+01   -1.10e+00    8.03e+01
2015 03 25  0344   57106  13440     6.23e+01    5.21e+01   -1.36e+00    8.12e+01
2015 03 25  0345   57106  13500     6.18e+01    5.08e+01   -2.06e+00    8.01e+01
2015 03 25  0346   57106  13560     6.19e+01    5.10e+01   -1.83e+00    8.02e+01
2015 03 25  0347   57106  13620     6.26e+01    5.15e+01   -2.04e+00    8.11e+01
2015 03 25  0348   57106  13680     6.34e+01    5.16e+01   -2.28e+00    8.18e+01
2015 03 25  0349   57106  13740     6.36e+01    5.15e+01   -2.16e+00    8.19e+01
2015 03 25  0350   57106  13800     6.37e+01    5.14e+01   -1.77e+00    8.18e+01
2015 03 25  0351   57106  13860     6.34e+01    5.12e+01   -2.27e+00    8.16e+01
2015 03 25  0352   57106  13920     6.44e+01    5.15e+01   -2.15e+00    8.25e+01
2015 03 25  0353   57106  13980     6.49e+01    5.21e+01   -2.14e+00    8.33e+01
2015 03 25  0354   57106  14040     6.48e+01    5.18e+01   -1.78e+00    8.30e+01
2015 03 25  0355   57106  14100     6.47e+01    5.17e+01   -1.76e+00    8.29e+01
2015 03 25  0356   57106  14160     6.44e+01    5.14e+01   -1.21e+00    8.24e+01
2015 03 25  0357   57106  14220     6.46e+01    5.18e+01   -1.03e+00    8.28e+01
2015 03 25  0358   57106  14280     6.41e+01    5.19e+01   -1.14e+00    8.25e+01
2015 03 25  0359   57106  14340     6.39e+01    5.16e+01   -1.44e+00    8.22e+01
2015 03 25  0400   57106  14400     6.41e+01    5.14e+01   -1.72e+00    8.22e+01
2015 03 25  0401   57106  14460     6.50e+01    5.18e+01   -1.81e+00    8.31e+01
2015 03 25  0402   57106  14520     6.56e+01    5.15e+01   -1.71e+00    8.34e+01
2015 03 25  0403   57106  14580     6.49e+01    5.09e+01   -1.77e+00    8.25e+01
2015 03 25  0404   57106  14640     6.48e+01    5.08e+01   -2.00e+00    8.23e+01
2015 03 25  0405   57106  14700     6.55e+01    5.10e+01   -1.87e+00    8.30e+01
2015 03 25  0406   57106  14760     6.57e+01    5.10e+01   -1.69e+00    8.32e+01
2015 03 25  0407   57106  14820     6.47e+01    5.04e+01   -1.71e+00    8.20e+01
2015 03 25  0408   57106  14880     6.47e+01    5.12e+01   -1.62e+00    8.26e+01
2015 03 25  0409   57106  14940     6.51e+01    5.18e+01   -1.42e+00    8.32e+01
2015 03 25  0410   57106  15000     6.55e+01    5.29e+01   -9.00e-01    8.42e+01
2015 03 25  0411   57106  15060     6.50e+01    5.30e+01   -1.12e+00    8.39e+01
2015 03 25  0412   57106  15120     6.47e+01    5.35e+01   -9.22e-01    8.40e+01
2015 03 25  0413   57106  15180     6.52e+01    5.36e+01   -8.84e-01    8.44e+01
2015 03 25  0414   57106  15240     6.46e+01    5.29e+01   -1.35e+00    8.35e+01
2015 03 25  0415   57106  15300     6.36e+01    5.21e+01   -1.42e+00    8.23e+01
2015 03 25  0416   57106  15360     6.29e+01    5.14e+01   -1.69e+00    8.12e+01
2015 03 25  0417   57106  15420     6.30e+01    5.16e+01   -1.81e+00    8.15e+01
2015 03 25  0418   57106  15480     6.34e+01    5.16e+01   -1.60e+00    8.17e+01
2015 03 25  0419   57106  15540     6.36e+01    5.15e+01   -1.56e+00    8.19e+01
2015 03 25  0420   57106  15600     6.40e+01    5.17e+01   -1.45e+00    8.22e+01
2015 03 25  0421   57106  15660     6.35e+01    5.13e+01   -1.21e+00    8.16e+01
2015 03 25  0422   57106  15720     6.29e+01    5.14e+01   -1.13e+00    8.13e+01
2015 03 25  0423   57106  15780     6.29e+01    5.15e+01   -9.53e-01    8.13e+01
2015 03 25  0424   57106  15840     6.32e+01    5.21e+01   -9.59e-01    8.19e+01
2015 03 25  0425   57106  15900     6.36e+01    5.27e+01   -9.53e-01    8.26e+01
2015 03 25  0426   57106  15960     6.37e+01    5.31e+01   -5.48e-01    8.29e+01
2015 03 25  0427   57106  16020     6.38e+01    5.37e+01   -3.33e-01    8.34e+01
2015 03 25  0428   57106  16080     6.43e+01    5.41e+01   -7.68e-01    8.40e+01
2015 03 25  0429   57106  16140     6.37e+01    5.39e+01   -1.24e+00    8.35e+01
2015 03 25  0430   57106  16200     6.37e+01    5.40e+01   -1.41e+00    8.35e+01
2015 03 25  0431   57106  16260     6.33e+01    5.36e+01   -1.22e+00    8.30e+01
2015 03 25  0432   57106  16320     6.28e+01    5.29e+01   -1.56e+00    8.21e+01
2015 03 25  0433   57106  16380     6.29e+01    5.32e+01   -7.39e-01    8.23e+01
2015 03 25  0434   57106  16440     6.31e+01    5.36e+01   -7.45e-01    8.28e+01
2015 03 25  0435   57106  16500     6.21e+01    5.34e+01   -5.81e-01    8.19e+01
2015 03 25  0436   57106  16560     6.18e+01    5.34e+01   -3.19e-01    8.17e+01
2015 03 25  0437   57106  16620     6.16e+01    5.35e+01   -5.12e-01    8.16e+01
2015 03 25  0438   57106  16680     6.14e+01    5.36e+01   -7.90e-01    8.15e+01
2015 03 25  0439   57106  16740     6.10e+01    5.32e+01   -9.21e-01    8.09e+01
2015 03 25  0440   57106  16800     6.06e+01    5.30e+01   -5.66e-01    8.05e+01
2015 03 25  0441   57106  16860     6.04e+01    5.27e+01   -5.09e-01    8.01e+01
2015 03 25  0442   57106  16920     5.90e+01    5.23e+01   -6.51e-01    7.89e+01
2015 03 25  0443   57106  16980     5.82e+01    5.22e+01   -7.61e-01    7.82e+01
2015 03 25  0444   57106  17040     5.87e+01    5.35e+01   -7.94e-01    7.94e+01
2015 03 25  0445   57106  17100     5.95e+01    5.47e+01   -3.82e-01    8.09e+01
2015 03 25  0446   57106  17160     5.81e+01    5.39e+01   -1.89e-01    7.92e+01
2015 03 25  0447   57106  17220     5.71e+01    5.36e+01    1.84e-01    7.83e+01
2015 03 25  0448   57106  17280     5.69e+01    5.40e+01    3.87e-02    7.85e+01
2015 03 25  0449   57106  17340     5.64e+01    5.43e+01   -6.83e-01    7.83e+01
2015 03 25  0450   57106  17400     5.66e+01    5.47e+01   -1.15e+00    7.88e+01
2015 03 25  0451   57106  17460     5.71e+01    5.50e+01   -8.36e-01    7.93e+01
2015 03 25  0452   57106  17520     5.71e+01    5.51e+01   -4.64e-01    7.94e+01
2015 03 25  0453   57106  17580     5.65e+01    5.48e+01   -2.88e-01    7.87e+01
2015 03 25  0454   57106  17640     5.61e+01    5.50e+01   -1.06e-01    7.86e+01
