:Data_list: 20150326_Gp_mag_1m.txt
:Created: 2015 Mar 26 0901 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Hp component = perpendicular to the satellite orbital plane or
#           parallel to the Earth's spin axis
# Label: He component = perpendicular to Hp and directed earthwards
# Label: Hn component = perpendicular to both Hp and He, directed eastwards
# Label: Total Field  = 
# Units: nanotesla (nT)
# Source: GOES-13
# Location: W075
# Missing data: -1.00e+05
#
#         1-minute GOES-13 Geomagnetic Components and Total Field
#
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day        Hp          He          Hn    Total Field
#-------------------------------------------------------------------------------
2015 03 26  0149   57107   6540     7.68e+01    4.69e+01   -5.84e+00    9.02e+01
2015 03 26  0150   57107   6600     7.59e+01    4.63e+01   -5.78e+00    8.91e+01
2015 03 26  0151   57107   6660     7.59e+01    4.62e+01   -5.54e+00    8.90e+01
2015 03 26  0152   57107   6720     7.57e+01    4.60e+01   -5.60e+00    8.87e+01
2015 03 26  0153   57107   6780     7.59e+01    4.62e+01   -5.69e+00    8.91e+01
2015 03 26  0154   57107   6840     7.59e+01    4.61e+01   -5.64e+00    8.90e+01
2015 03 26  0155   57107   6900     7.58e+01    4.63e+01   -5.61e+00    8.90e+01
2015 03 26  0156   57107   6960     7.53e+01    4.64e+01   -5.47e+00    8.86e+01
2015 03 26  0157   57107   7020     7.59e+01    4.70e+01   -5.53e+00    8.94e+01
2015 03 26  0158   57107   7080     7.61e+01    4.74e+01   -5.77e+00    8.98e+01
2015 03 26  0159   57107   7140     7.60e+01    4.79e+01   -5.92e+00    9.00e+01
2015 03 26  0200   57107   7200     7.61e+01    4.84e+01   -5.85e+00    9.03e+01
2015 03 26  0201   57107   7260     7.62e+01    4.87e+01   -6.34e+00    9.06e+01
2015 03 26  0202   57107   7320     7.64e+01    4.89e+01   -6.33e+00    9.09e+01
2015 03 26  0203   57107   7380     7.67e+01    4.90e+01   -6.65e+00    9.13e+01
2015 03 26  0204   57107   7440     7.70e+01    4.90e+01   -7.09e+00    9.15e+01
2015 03 26  0205   57107   7500     7.70e+01    4.89e+01   -7.18e+00    9.15e+01
2015 03 26  0206   57107   7560     7.61e+01    4.89e+01   -6.56e+00    9.06e+01
2015 03 26  0207   57107   7620     7.53e+01    4.85e+01   -5.92e+00    8.98e+01
2015 03 26  0208   57107   7680     7.48e+01    4.84e+01   -5.69e+00    8.92e+01
2015 03 26  0209   57107   7740     7.50e+01    4.86e+01   -5.76e+00    8.96e+01
2015 03 26  0210   57107   7800     7.49e+01    4.88e+01   -5.89e+00    8.96e+01
2015 03 26  0211   57107   7860     7.47e+01    4.88e+01   -5.69e+00    8.94e+01
2015 03 26  0212   57107   7920     7.45e+01    4.87e+01   -5.88e+00    8.92e+01
2015 03 26  0213   57107   7980     7.42e+01    4.85e+01   -6.14e+00    8.89e+01
2015 03 26  0214   57107   8040     7.45e+01    4.86e+01   -5.92e+00    8.92e+01
2015 03 26  0215   57107   8100     7.41e+01    4.85e+01   -5.77e+00    8.88e+01
2015 03 26  0216   57107   8160     7.37e+01    4.84e+01   -5.84e+00    8.84e+01
2015 03 26  0217   57107   8220     7.39e+01    4.85e+01   -5.54e+00    8.86e+01
2015 03 26  0218   57107   8280     7.40e+01    4.87e+01   -5.46e+00    8.87e+01
2015 03 26  0219   57107   8340     7.42e+01    4.85e+01   -5.64e+00    8.89e+01
2015 03 26  0220   57107   8400     7.43e+01    4.83e+01   -5.85e+00    8.88e+01
2015 03 26  0221   57107   8460     7.43e+01    4.86e+01   -5.94e+00    8.90e+01
2015 03 26  0222   57107   8520     7.42e+01    4.87e+01   -5.95e+00    8.89e+01
2015 03 26  0223   57107   8580     7.42e+01    4.85e+01   -6.34e+00    8.89e+01
2015 03 26  0224   57107   8640     7.45e+01    4.86e+01   -6.39e+00    8.92e+01
2015 03 26  0225   57107   8700     7.44e+01    4.87e+01   -6.32e+00    8.91e+01
2015 03 26  0226   57107   8760     7.45e+01    4.87e+01   -6.40e+00    8.93e+01
2015 03 26  0227   57107   8820     7.44e+01    4.87e+01   -6.31e+00    8.91e+01
2015 03 26  0228   57107   8880     7.48e+01    4.92e+01   -6.26e+00    8.97e+01
2015 03 26  0229   57107   8940     7.49e+01    4.94e+01   -6.38e+00    9.00e+01
2015 03 26  0230   57107   9000     7.48e+01    4.94e+01   -6.32e+00    8.98e+01
2015 03 26  0231   57107   9060     7.51e+01    4.94e+01   -6.37e+00    9.01e+01
2015 03 26  0232   57107   9120     7.53e+01    4.93e+01   -6.52e+00    9.02e+01
2015 03 26  0233   57107   9180     7.56e+01    4.91e+01   -6.07e+00    9.03e+01
2015 03 26  0234   57107   9240     7.54e+01    4.90e+01   -6.22e+00    9.01e+01
2015 03 26  0235   57107   9300     7.54e+01    4.90e+01   -6.06e+00    9.01e+01
2015 03 26  0236   57107   9360     7.52e+01    4.90e+01   -6.04e+00    9.00e+01
2015 03 26  0237   57107   9420     7.47e+01    4.91e+01   -6.11e+00    8.96e+01
2015 03 26  0238   57107   9480     7.46e+01    4.91e+01   -5.93e+00    8.95e+01
2015 03 26  0239   57107   9540     7.44e+01    4.93e+01   -6.06e+00    8.95e+01
2015 03 26  0240   57107   9600     7.42e+01    4.96e+01   -6.02e+00    8.94e+01
2015 03 26  0241   57107   9660     7.45e+01    4.99e+01   -6.11e+00    8.98e+01
2015 03 26  0242   57107   9720     7.44e+01    5.00e+01   -6.08e+00    8.98e+01
2015 03 26  0243   57107   9780     7.44e+01    5.00e+01   -6.15e+00    8.98e+01
2015 03 26  0244   57107   9840     7.44e+01    5.00e+01   -6.19e+00    8.98e+01
2015 03 26  0245   57107   9900     7.42e+01    5.00e+01   -6.13e+00    8.97e+01
2015 03 26  0246   57107   9960     7.41e+01    4.98e+01   -6.14e+00    8.95e+01
2015 03 26  0247   57107  10020     7.40e+01    4.97e+01   -6.21e+00    8.94e+01
2015 03 26  0248   57107  10080     7.44e+01    4.97e+01   -6.47e+00    8.97e+01
2015 03 26  0249   57107  10140     7.42e+01    4.95e+01   -6.36e+00    8.94e+01
2015 03 26  0250   57107  10200     7.45e+01    4.93e+01   -6.38e+00    8.96e+01
2015 03 26  0251   57107  10260     7.46e+01    4.93e+01   -6.24e+00    8.97e+01
2015 03 26  0252   57107  10320     7.49e+01    4.94e+01   -6.36e+00    9.00e+01
2015 03 26  0253   57107  10380     7.49e+01    4.96e+01   -6.18e+00    9.01e+01
2015 03 26  0254   57107  10440     7.51e+01    4.95e+01   -5.98e+00    9.01e+01
2015 03 26  0255   57107  10500     7.53e+01    4.94e+01   -5.77e+00    9.02e+01
2015 03 26  0256   57107  10560     7.54e+01    4.93e+01   -5.34e+00    9.03e+01
2015 03 26  0257   57107  10620     7.56e+01    4.91e+01   -5.25e+00    9.03e+01
2015 03 26  0258   57107  10680     7.57e+01    4.88e+01   -4.94e+00    9.02e+01
2015 03 26  0259   57107  10740     7.60e+01    4.84e+01   -4.76e+00    9.02e+01
2015 03 26  0300   57107  10800     7.64e+01    4.83e+01   -4.86e+00    9.05e+01
2015 03 26  0301   57107  10860     7.65e+01    4.81e+01   -4.85e+00    9.05e+01
2015 03 26  0302   57107  10920     7.63e+01    4.82e+01   -4.89e+00    9.04e+01
2015 03 26  0303   57107  10980     7.60e+01    4.82e+01   -4.88e+00    9.01e+01
2015 03 26  0304   57107  11040     7.57e+01    4.82e+01   -4.90e+00    8.99e+01
2015 03 26  0305   57107  11100     7.55e+01    4.83e+01   -5.00e+00    8.98e+01
2015 03 26  0306   57107  11160     7.54e+01    4.84e+01   -5.08e+00    8.97e+01
2015 03 26  0307   57107  11220     7.54e+01    4.85e+01   -5.02e+00    8.98e+01
2015 03 26  0308   57107  11280     7.53e+01    4.86e+01   -4.95e+00    8.97e+01
2015 03 26  0309   57107  11340     7.49e+01    4.85e+01   -4.87e+00    8.94e+01
2015 03 26  0310   57107  11400     7.47e+01    4.87e+01   -4.79e+00    8.93e+01
2015 03 26  0311   57107  11460     7.44e+01    4.87e+01   -4.64e+00    8.90e+01
2015 03 26  0312   57107  11520     7.43e+01    4.88e+01   -4.58e+00    8.91e+01
2015 03 26  0313   57107  11580     7.43e+01    4.90e+01   -4.41e+00    8.91e+01
2015 03 26  0314   57107  11640     7.41e+01    4.89e+01   -4.17e+00    8.89e+01
2015 03 26  0315   57107  11700     7.41e+01    4.89e+01   -4.19e+00    8.89e+01
2015 03 26  0316   57107  11760     7.41e+01    4.91e+01   -4.35e+00    8.90e+01
2015 03 26  0317   57107  11820     7.42e+01    4.94e+01   -4.36e+00    8.92e+01
2015 03 26  0318   57107  11880     7.40e+01    4.94e+01   -4.48e+00    8.91e+01
2015 03 26  0319   57107  11940     7.38e+01    4.93e+01   -4.43e+00    8.89e+01
2015 03 26  0320   57107  12000     7.35e+01    4.92e+01   -4.41e+00    8.86e+01
2015 03 26  0321   57107  12060     7.32e+01    4.91e+01   -4.44e+00    8.83e+01
2015 03 26  0322   57107  12120     7.30e+01    4.91e+01   -4.31e+00    8.81e+01
2015 03 26  0323   57107  12180     7.27e+01    4.91e+01   -4.14e+00    8.78e+01
2015 03 26  0324   57107  12240     7.25e+01    4.90e+01   -4.22e+00    8.76e+01
2015 03 26  0325   57107  12300     7.26e+01    4.92e+01   -4.27e+00    8.78e+01
2015 03 26  0326   57107  12360     7.25e+01    4.93e+01   -4.27e+00    8.78e+01
2015 03 26  0327   57107  12420     7.25e+01    4.95e+01   -4.22e+00    8.78e+01
2015 03 26  0328   57107  12480     7.22e+01    4.94e+01   -4.20e+00    8.76e+01
2015 03 26  0329   57107  12540     7.20e+01    4.95e+01   -4.33e+00    8.75e+01
2015 03 26  0330   57107  12600     7.20e+01    4.96e+01   -4.31e+00    8.75e+01
2015 03 26  0331   57107  12660     7.18e+01    4.96e+01   -4.19e+00    8.74e+01
2015 03 26  0332   57107  12720     7.18e+01    4.96e+01   -4.19e+00    8.74e+01
2015 03 26  0333   57107  12780     7.18e+01    4.96e+01   -4.25e+00    8.73e+01
2015 03 26  0334   57107  12840     7.16e+01    4.95e+01   -4.23e+00    8.71e+01
2015 03 26  0335   57107  12900     7.15e+01    4.93e+01   -4.16e+00    8.70e+01
2015 03 26  0336   57107  12960     7.13e+01    4.92e+01   -4.04e+00    8.68e+01
2015 03 26  0337   57107  13020     7.14e+01    4.93e+01   -4.11e+00    8.69e+01
2015 03 26  0338   57107  13080     7.15e+01    4.92e+01   -4.09e+00    8.69e+01
2015 03 26  0339   57107  13140     7.15e+01    4.91e+01   -4.00e+00    8.68e+01
2015 03 26  0340   57107  13200     7.14e+01    4.89e+01   -4.03e+00    8.67e+01
2015 03 26  0341   57107  13260     7.13e+01    4.89e+01   -4.09e+00    8.66e+01
2015 03 26  0342   57107  13320     7.14e+01    4.91e+01   -4.23e+00    8.67e+01
2015 03 26  0343   57107  13380     7.13e+01    4.91e+01   -4.22e+00    8.67e+01
2015 03 26  0344   57107  13440     7.13e+01    4.91e+01   -4.11e+00    8.66e+01
2015 03 26  0345   57107  13500     7.11e+01    4.91e+01   -3.95e+00    8.65e+01
2015 03 26  0346   57107  13560     7.10e+01    4.91e+01   -3.88e+00    8.65e+01
2015 03 26  0347   57107  13620     7.12e+01    4.92e+01   -3.88e+00    8.66e+01
2015 03 26  0348   57107  13680     7.13e+01    4.93e+01   -3.85e+00    8.67e+01
2015 03 26  0349   57107  13740     7.13e+01    4.94e+01   -3.80e+00    8.68e+01
2015 03 26  0350   57107  13800     7.13e+01    4.94e+01   -3.80e+00    8.68e+01
2015 03 26  0351   57107  13860     7.12e+01    4.94e+01   -3.79e+00    8.67e+01
2015 03 26  0352   57107  13920     7.13e+01    4.95e+01   -3.90e+00    8.69e+01
2015 03 26  0353   57107  13980     7.13e+01    4.97e+01   -3.97e+00    8.70e+01
2015 03 26  0354   57107  14040     7.13e+01    4.99e+01   -4.01e+00    8.71e+01
2015 03 26  0355   57107  14100     7.13e+01    5.00e+01   -4.04e+00    8.72e+01
2015 03 26  0356   57107  14160     7.12e+01    5.02e+01   -4.05e+00    8.72e+01
2015 03 26  0357   57107  14220     7.12e+01    5.02e+01   -4.11e+00    8.72e+01
2015 03 26  0358   57107  14280     7.11e+01    5.02e+01   -4.09e+00    8.72e+01
2015 03 26  0359   57107  14340     7.10e+01    5.02e+01   -4.02e+00    8.71e+01
2015 03 26  0400   57107  14400     7.10e+01    5.00e+01   -3.98e+00    8.69e+01
2015 03 26  0401   57107  14460     7.07e+01    4.99e+01   -3.93e+00    8.66e+01
2015 03 26  0402   57107  14520     7.06e+01    4.98e+01   -3.93e+00    8.64e+01
2015 03 26  0403   57107  14580     7.04e+01    4.97e+01   -3.90e+00    8.62e+01
2015 03 26  0404   57107  14640     7.03e+01    4.96e+01   -3.88e+00    8.62e+01
2015 03 26  0405   57107  14700     7.03e+01    4.95e+01   -3.81e+00    8.60e+01
2015 03 26  0406   57107  14760     7.02e+01    4.95e+01   -3.71e+00    8.60e+01
2015 03 26  0407   57107  14820     7.01e+01    4.95e+01   -3.65e+00    8.59e+01
2015 03 26  0408   57107  14880     7.00e+01    4.94e+01   -3.42e+00    8.57e+01
2015 03 26  0409   57107  14940     6.98e+01    4.95e+01   -3.27e+00    8.56e+01
2015 03 26  0410   57107  15000     6.96e+01    4.95e+01   -3.09e+00    8.55e+01
2015 03 26  0411   57107  15060     6.95e+01    4.95e+01   -2.87e+00    8.53e+01
2015 03 26  0412   57107  15120     6.94e+01    4.97e+01   -2.74e+00    8.54e+01
2015 03 26  0413   57107  15180     6.95e+01    4.99e+01   -2.64e+00    8.56e+01
2015 03 26  0414   57107  15240     6.94e+01    5.01e+01   -2.56e+00    8.57e+01
2015 03 26  0415   57107  15300     6.96e+01    5.03e+01   -2.61e+00    8.59e+01
2015 03 26  0416   57107  15360     6.96e+01    5.03e+01   -2.50e+00    8.59e+01
2015 03 26  0417   57107  15420     6.95e+01    5.03e+01   -2.48e+00    8.58e+01
2015 03 26  0418   57107  15480     6.94e+01    5.05e+01   -2.43e+00    8.58e+01
2015 03 26  0419   57107  15540     6.94e+01    5.07e+01   -2.47e+00    8.60e+01
2015 03 26  0420   57107  15600     6.93e+01    5.06e+01   -2.39e+00    8.58e+01
2015 03 26  0421   57107  15660     6.91e+01    5.05e+01   -2.16e+00    8.56e+01
2015 03 26  0422   57107  15720     6.90e+01    5.06e+01   -2.35e+00    8.56e+01
2015 03 26  0423   57107  15780     6.88e+01    5.06e+01   -2.14e+00    8.55e+01
2015 03 26  0424   57107  15840     6.87e+01    5.07e+01   -2.43e+00    8.55e+01
2015 03 26  0425   57107  15900     6.85e+01    5.08e+01   -2.45e+00    8.54e+01
2015 03 26  0426   57107  15960     6.84e+01    5.09e+01   -2.51e+00    8.53e+01
2015 03 26  0427   57107  16020     6.79e+01    5.11e+01   -2.62e+00    8.50e+01
2015 03 26  0428   57107  16080     6.75e+01    5.12e+01   -2.55e+00    8.48e+01
2015 03 26  0429   57107  16140     6.71e+01    5.12e+01   -2.75e+00    8.45e+01
2015 03 26  0430   57107  16200     6.70e+01    5.10e+01   -2.81e+00    8.42e+01
2015 03 26  0431   57107  16260     6.68e+01    5.11e+01   -2.79e+00    8.42e+01
2015 03 26  0432   57107  16320     6.67e+01    5.11e+01   -2.85e+00    8.41e+01
2015 03 26  0433   57107  16380     6.66e+01    5.11e+01   -2.52e+00    8.40e+01
2015 03 26  0434   57107  16440     6.64e+01    5.13e+01   -2.49e+00    8.39e+01
2015 03 26  0435   57107  16500     6.60e+01    5.12e+01   -2.46e+00    8.36e+01
2015 03 26  0436   57107  16560     6.58e+01    5.12e+01   -2.29e+00    8.34e+01
2015 03 26  0437   57107  16620     6.59e+01    5.09e+01   -2.63e+00    8.33e+01
2015 03 26  0438   57107  16680     6.60e+01    5.01e+01   -3.18e+00    8.29e+01
2015 03 26  0439   57107  16740     6.62e+01    5.00e+01   -2.82e+00    8.30e+01
2015 03 26  0440   57107  16800     6.61e+01    4.99e+01   -4.17e+00    8.29e+01
2015 03 26  0441   57107  16860     6.48e+01    4.86e+01   -5.52e+00    8.13e+01
2015 03 26  0442   57107  16920     6.55e+01    4.92e+01   -4.80e+00    8.20e+01
2015 03 26  0443   57107  16980     6.58e+01    4.88e+01   -6.32e+00    8.22e+01
2015 03 26  0444   57107  17040     6.56e+01    4.80e+01   -6.56e+00    8.16e+01
2015 03 26  0445   57107  17100     6.60e+01    4.83e+01   -5.41e+00    8.19e+01
2015 03 26  0446   57107  17160     6.44e+01    4.77e+01   -7.93e+00    8.05e+01
2015 03 26  0447   57107  17220     6.54e+01    4.85e+01   -6.62e+00    8.17e+01
2015 03 26  0448   57107  17280     6.40e+01    4.78e+01   -6.47e+00    8.01e+01
2015 03 26  0449   57107  17340     6.43e+01    4.79e+01   -5.77e+00    8.04e+01
2015 03 26  0450   57107  17400     6.52e+01    4.84e+01   -4.22e+00    8.14e+01
2015 03 26  0451   57107  17460     6.49e+01    4.84e+01   -4.11e+00    8.11e+01
2015 03 26  0452   57107  17520     6.44e+01    4.80e+01   -3.84e+00    8.05e+01
2015 03 26  0453   57107  17580     6.45e+01    4.77e+01   -4.22e+00    8.04e+01
