:Data_list: 20150326_Gs_mag_1m.txt
:Created: 2015 Mar 26 0901 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Hp component = perpendicular to the satellite orbital plane or
#           parallel to the Earth's spin axis
# Label: He component = perpendicular to Hp and directed earthwards
# Label: Hn component = perpendicular to both Hp and He, directed eastwards
# Label: Total Field  = 
# Units: nanotesla (nT)
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#         1-minute GOES-15 Geomagnetic Components and Total Field
#
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day        Hp          He          Hn    Total Field
#-------------------------------------------------------------------------------
2015 03 26  0016   57107    960     1.06e+02    1.87e+01    1.51e+01    1.09e+02
2015 03 26  0017   57107   1020     1.07e+02    1.90e+01    1.51e+01    1.09e+02
2015 03 26  0018   57107   1080     1.08e+02    2.01e+01    1.53e+01    1.11e+02
2015 03 26  0019   57107   1140     1.08e+02    2.01e+01    1.55e+01    1.11e+02
2015 03 26  0020   57107   1200     1.08e+02    2.02e+01    1.55e+01    1.11e+02
2015 03 26  0021   57107   1260     1.08e+02    2.09e+01    1.52e+01    1.11e+02
2015 03 26  0022   57107   1320     1.08e+02    2.02e+01    1.56e+01    1.11e+02
2015 03 26  0023   57107   1380     1.08e+02    2.01e+01    1.56e+01    1.11e+02
2015 03 26  0024   57107   1440     1.08e+02    2.00e+01    1.55e+01    1.11e+02
2015 03 26  0025   57107   1500     1.08e+02    2.07e+01    1.55e+01    1.11e+02
2015 03 26  0026   57107   1560     1.08e+02    2.11e+01    1.55e+01    1.11e+02
2015 03 26  0027   57107   1620     1.08e+02    2.08e+01    1.54e+01    1.11e+02
2015 03 26  0028   57107   1680     1.08e+02    2.14e+01    1.55e+01    1.11e+02
2015 03 26  0029   57107   1740     1.08e+02    2.13e+01    1.58e+01    1.12e+02
2015 03 26  0030   57107   1800     1.08e+02    2.19e+01    1.54e+01    1.12e+02
2015 03 26  0031   57107   1860     1.09e+02    2.07e+01    1.65e+01    1.12e+02
2015 03 26  0032   57107   1920     1.09e+02    2.12e+01    1.59e+01    1.13e+02
2015 03 26  0033   57107   1980     1.09e+02    2.18e+01    1.58e+01    1.13e+02
2015 03 26  0034   57107   2040     1.10e+02    2.07e+01    1.60e+01    1.13e+02
2015 03 26  0035   57107   2100     1.10e+02    2.02e+01    1.58e+01    1.13e+02
2015 03 26  0036   57107   2160     1.10e+02    1.99e+01    1.56e+01    1.13e+02
2015 03 26  0037   57107   2220     1.09e+02    1.98e+01    1.58e+01    1.12e+02
2015 03 26  0038   57107   2280     1.08e+02    2.01e+01    1.57e+01    1.11e+02
2015 03 26  0039   57107   2340     1.08e+02    2.05e+01    1.57e+01    1.11e+02
2015 03 26  0040   57107   2400     1.07e+02    2.09e+01    1.57e+01    1.10e+02
2015 03 26  0041   57107   2460     1.07e+02    2.09e+01    1.56e+01    1.10e+02
2015 03 26  0042   57107   2520     1.05e+02    2.03e+01    1.56e+01    1.08e+02
2015 03 26  0043   57107   2580     1.05e+02    2.04e+01    1.52e+01    1.08e+02
2015 03 26  0044   57107   2640     1.05e+02    1.94e+01    1.48e+01    1.08e+02
2015 03 26  0045   57107   2700     1.05e+02    1.90e+01    1.47e+01    1.08e+02
2015 03 26  0046   57107   2760     1.05e+02    1.84e+01    1.48e+01    1.08e+02
2015 03 26  0047   57107   2820     1.06e+02    1.88e+01    1.48e+01    1.08e+02
2015 03 26  0048   57107   2880     1.06e+02    1.88e+01    1.51e+01    1.08e+02
2015 03 26  0049   57107   2940     1.05e+02    2.03e+01    1.57e+01    1.09e+02
2015 03 26  0050   57107   3000     1.05e+02    2.07e+01    1.57e+01    1.09e+02
2015 03 26  0051   57107   3060     1.06e+02    2.16e+01    1.54e+01    1.09e+02
2015 03 26  0052   57107   3120     1.07e+02    2.13e+01    1.54e+01    1.10e+02
2015 03 26  0053   57107   3180     1.08e+02    2.09e+01    1.53e+01    1.11e+02
2015 03 26  0054   57107   3240     1.09e+02    2.05e+01    1.51e+01    1.12e+02
2015 03 26  0055   57107   3300     1.09e+02    1.95e+01    1.49e+01    1.12e+02
2015 03 26  0056   57107   3360     1.08e+02    1.90e+01    1.48e+01    1.11e+02
2015 03 26  0057   57107   3420     1.08e+02    1.86e+01    1.48e+01    1.11e+02
2015 03 26  0058   57107   3480     1.08e+02    1.86e+01    1.48e+01    1.11e+02
2015 03 26  0059   57107   3540     1.08e+02    1.85e+01    1.50e+01    1.11e+02
2015 03 26  0100   57107   3600     1.08e+02    1.85e+01    1.52e+01    1.11e+02
2015 03 26  0101   57107   3660     1.08e+02    1.85e+01    1.52e+01    1.11e+02
2015 03 26  0102   57107   3720     1.08e+02    1.85e+01    1.52e+01    1.10e+02
2015 03 26  0103   57107   3780     1.08e+02    1.81e+01    1.53e+01    1.10e+02
2015 03 26  0104   57107   3840     1.08e+02    1.80e+01    1.55e+01    1.10e+02
2015 03 26  0105   57107   3900     1.07e+02    1.81e+01    1.55e+01    1.10e+02
2015 03 26  0106   57107   3960     1.07e+02    1.79e+01    1.56e+01    1.10e+02
2015 03 26  0107   57107   4020     1.07e+02    1.78e+01    1.55e+01    1.10e+02
2015 03 26  0108   57107   4080     1.07e+02    1.78e+01    1.55e+01    1.10e+02
2015 03 26  0109   57107   4140     1.07e+02    1.77e+01    1.56e+01    1.10e+02
2015 03 26  0110   57107   4200     1.08e+02    1.75e+01    1.58e+01    1.10e+02
2015 03 26  0111   57107   4260     1.08e+02    1.74e+01    1.59e+01    1.11e+02
2015 03 26  0112   57107   4320     1.08e+02    1.74e+01    1.61e+01    1.11e+02
2015 03 26  0113   57107   4380     1.08e+02    1.74e+01    1.60e+01    1.10e+02
2015 03 26  0114   57107   4440     1.08e+02    1.73e+01    1.61e+01    1.11e+02
2015 03 26  0115   57107   4500     1.08e+02    1.73e+01    1.63e+01    1.11e+02
2015 03 26  0116   57107   4560     1.08e+02    1.74e+01    1.64e+01    1.11e+02
2015 03 26  0117   57107   4620     1.08e+02    1.74e+01    1.65e+01    1.11e+02
2015 03 26  0118   57107   4680     1.09e+02    1.75e+01    1.66e+01    1.11e+02
2015 03 26  0119   57107   4740     1.09e+02    1.74e+01    1.66e+01    1.11e+02
2015 03 26  0120   57107   4800     1.08e+02    1.73e+01    1.64e+01    1.11e+02
2015 03 26  0121   57107   4860     1.08e+02    1.72e+01    1.64e+01    1.11e+02
2015 03 26  0122   57107   4920     1.08e+02    1.72e+01    1.64e+01    1.11e+02
2015 03 26  0123   57107   4980     1.08e+02    1.72e+01    1.65e+01    1.11e+02
2015 03 26  0124   57107   5040     1.08e+02    1.71e+01    1.65e+01    1.11e+02
2015 03 26  0125   57107   5100     1.08e+02    1.68e+01    1.65e+01    1.10e+02
2015 03 26  0126   57107   5160     1.08e+02    1.67e+01    1.65e+01    1.10e+02
2015 03 26  0127   57107   5220     1.08e+02    1.68e+01    1.64e+01    1.10e+02
2015 03 26  0128   57107   5280     1.07e+02    1.68e+01    1.65e+01    1.10e+02
2015 03 26  0129   57107   5340     1.07e+02    1.67e+01    1.65e+01    1.10e+02
2015 03 26  0130   57107   5400     1.07e+02    1.66e+01    1.66e+01    1.10e+02
2015 03 26  0131   57107   5460     1.07e+02    1.64e+01    1.65e+01    1.10e+02
2015 03 26  0132   57107   5520     1.07e+02    1.65e+01    1.62e+01    1.09e+02
2015 03 26  0133   57107   5580     1.06e+02    1.72e+01    1.60e+01    1.08e+02
2015 03 26  0134   57107   5640     1.04e+02    1.86e+01    1.58e+01    1.07e+02
2015 03 26  0135   57107   5700     1.03e+02    1.89e+01    1.59e+01    1.06e+02
2015 03 26  0136   57107   5760     1.01e+02    1.88e+01    1.60e+01    1.04e+02
2015 03 26  0137   57107   5820     1.01e+02    1.83e+01    1.57e+01    1.04e+02
2015 03 26  0138   57107   5880     1.01e+02    1.77e+01    1.52e+01    1.04e+02
2015 03 26  0139   57107   5940     1.02e+02    1.73e+01    1.51e+01    1.04e+02
2015 03 26  0140   57107   6000     1.02e+02    1.70e+01    1.51e+01    1.05e+02
2015 03 26  0141   57107   6060     1.03e+02    1.69e+01    1.53e+01    1.06e+02
2015 03 26  0142   57107   6120     1.04e+02    1.69e+01    1.54e+01    1.06e+02
2015 03 26  0143   57107   6180     1.04e+02    1.71e+01    1.55e+01    1.07e+02
2015 03 26  0144   57107   6240     1.04e+02    1.72e+01    1.59e+01    1.07e+02
2015 03 26  0145   57107   6300     1.04e+02    1.73e+01    1.62e+01    1.07e+02
2015 03 26  0146   57107   6360     1.04e+02    1.73e+01    1.63e+01    1.06e+02
2015 03 26  0147   57107   6420     1.03e+02    1.72e+01    1.63e+01    1.06e+02
2015 03 26  0148   57107   6480     1.03e+02    1.73e+01    1.63e+01    1.05e+02
2015 03 26  0149   57107   6540     1.02e+02    1.72e+01    1.63e+01    1.05e+02
2015 03 26  0150   57107   6600     1.01e+02    1.73e+01    1.63e+01    1.04e+02
2015 03 26  0151   57107   6660     1.01e+02    1.74e+01    1.63e+01    1.04e+02
2015 03 26  0152   57107   6720     1.01e+02    1.74e+01    1.64e+01    1.04e+02
2015 03 26  0153   57107   6780     1.01e+02    1.75e+01    1.65e+01    1.04e+02
2015 03 26  0154   57107   6840     1.01e+02    1.77e+01    1.64e+01    1.03e+02
2015 03 26  0155   57107   6900     1.01e+02    1.79e+01    1.65e+01    1.04e+02
2015 03 26  0156   57107   6960     1.00e+02    1.82e+01    1.66e+01    1.03e+02
2015 03 26  0157   57107   7020     1.01e+02    1.82e+01    1.66e+01    1.04e+02
2015 03 26  0158   57107   7080     1.01e+02    1.85e+01    1.64e+01    1.04e+02
2015 03 26  0159   57107   7140     1.01e+02    1.86e+01    1.63e+01    1.04e+02
2015 03 26  0200   57107   7200     1.01e+02    1.87e+01    1.61e+01    1.04e+02
2015 03 26  0201   57107   7260     1.02e+02    1.88e+01    1.60e+01    1.05e+02
2015 03 26  0202   57107   7320     1.03e+02    1.88e+01    1.63e+01    1.06e+02
2015 03 26  0203   57107   7380     1.03e+02    1.85e+01    1.63e+01    1.06e+02
2015 03 26  0204   57107   7440     1.03e+02    1.86e+01    1.61e+01    1.06e+02
2015 03 26  0205   57107   7500     1.03e+02    1.87e+01    1.61e+01    1.06e+02
2015 03 26  0206   57107   7560     1.03e+02    1.88e+01    1.62e+01    1.06e+02
2015 03 26  0207   57107   7620     1.03e+02    1.88e+01    1.61e+01    1.06e+02
2015 03 26  0208   57107   7680     1.03e+02    1.87e+01    1.60e+01    1.05e+02
2015 03 26  0209   57107   7740     1.03e+02    1.88e+01    1.61e+01    1.05e+02
2015 03 26  0210   57107   7800     1.03e+02    1.87e+01    1.61e+01    1.06e+02
2015 03 26  0211   57107   7860     1.03e+02    1.86e+01    1.65e+01    1.06e+02
2015 03 26  0212   57107   7920     1.03e+02    1.85e+01    1.64e+01    1.06e+02
2015 03 26  0213   57107   7980     1.03e+02    1.84e+01    1.64e+01    1.06e+02
2015 03 26  0214   57107   8040     1.03e+02    1.83e+01    1.64e+01    1.06e+02
2015 03 26  0215   57107   8100     1.03e+02    1.81e+01    1.64e+01    1.06e+02
2015 03 26  0216   57107   8160     1.03e+02    1.80e+01    1.64e+01    1.06e+02
2015 03 26  0217   57107   8220     1.03e+02    1.80e+01    1.64e+01    1.06e+02
2015 03 26  0218   57107   8280     1.03e+02    1.78e+01    1.63e+01    1.06e+02
2015 03 26  0219   57107   8340     1.03e+02    1.78e+01    1.63e+01    1.06e+02
2015 03 26  0220   57107   8400     1.03e+02    1.77e+01    1.63e+01    1.05e+02
2015 03 26  0221   57107   8460     1.02e+02    1.77e+01    1.62e+01    1.05e+02
2015 03 26  0222   57107   8520     1.01e+02    1.77e+01    1.61e+01    1.04e+02
2015 03 26  0223   57107   8580     1.02e+02    1.78e+01    1.61e+01    1.04e+02
2015 03 26  0224   57107   8640     1.02e+02    1.78e+01    1.62e+01    1.05e+02
2015 03 26  0225   57107   8700     1.02e+02    1.78e+01    1.63e+01    1.05e+02
2015 03 26  0226   57107   8760     1.02e+02    1.78e+01    1.63e+01    1.05e+02
2015 03 26  0227   57107   8820     1.03e+02    1.79e+01    1.64e+01    1.05e+02
2015 03 26  0228   57107   8880     1.03e+02    1.79e+01    1.64e+01    1.05e+02
2015 03 26  0229   57107   8940     1.02e+02    1.80e+01    1.64e+01    1.05e+02
2015 03 26  0230   57107   9000     1.02e+02    1.80e+01    1.64e+01    1.05e+02
2015 03 26  0231   57107   9060     1.02e+02    1.80e+01    1.65e+01    1.05e+02
2015 03 26  0232   57107   9120     1.02e+02    1.81e+01    1.65e+01    1.05e+02
2015 03 26  0233   57107   9180     1.02e+02    1.81e+01    1.63e+01    1.05e+02
2015 03 26  0234   57107   9240     1.02e+02    1.81e+01    1.62e+01    1.05e+02
2015 03 26  0235   57107   9300     1.02e+02    1.81e+01    1.62e+01    1.05e+02
2015 03 26  0236   57107   9360     1.02e+02    1.80e+01    1.62e+01    1.05e+02
2015 03 26  0237   57107   9420     1.02e+02    1.81e+01    1.62e+01    1.05e+02
2015 03 26  0238   57107   9480     1.01e+02    1.82e+01    1.61e+01    1.04e+02
2015 03 26  0239   57107   9540     1.01e+02    1.84e+01    1.60e+01    1.04e+02
2015 03 26  0240   57107   9600     1.01e+02    1.87e+01    1.59e+01    1.04e+02
2015 03 26  0241   57107   9660     1.00e+02    1.88e+01    1.59e+01    1.03e+02
2015 03 26  0242   57107   9720     1.00e+02    1.88e+01    1.58e+01    1.03e+02
2015 03 26  0243   57107   9780     9.99e+01    1.88e+01    1.59e+01    1.03e+02
2015 03 26  0244   57107   9840     9.97e+01    1.88e+01    1.58e+01    1.03e+02
2015 03 26  0245   57107   9900     9.93e+01    1.88e+01    1.58e+01    1.02e+02
2015 03 26  0246   57107   9960     9.96e+01    1.87e+01    1.58e+01    1.03e+02
2015 03 26  0247   57107  10020     9.93e+01    1.87e+01    1.59e+01    1.02e+02
2015 03 26  0248   57107  10080     9.92e+01    1.87e+01    1.59e+01    1.02e+02
2015 03 26  0249   57107  10140     9.96e+01    1.87e+01    1.60e+01    1.03e+02
2015 03 26  0250   57107  10200     9.96e+01    1.88e+01    1.64e+01    1.03e+02
2015 03 26  0251   57107  10260     9.95e+01    1.89e+01    1.65e+01    1.03e+02
2015 03 26  0252   57107  10320     9.94e+01    1.88e+01    1.65e+01    1.03e+02
2015 03 26  0253   57107  10380     9.94e+01    1.89e+01    1.66e+01    1.03e+02
2015 03 26  0254   57107  10440     9.94e+01    1.90e+01    1.66e+01    1.03e+02
2015 03 26  0255   57107  10500     9.93e+01    1.88e+01    1.66e+01    1.02e+02
2015 03 26  0256   57107  10560     9.90e+01    1.88e+01    1.65e+01    1.02e+02
2015 03 26  0257   57107  10620     9.86e+01    1.88e+01    1.64e+01    1.02e+02
2015 03 26  0258   57107  10680     9.91e+01    1.88e+01    1.65e+01    1.02e+02
2015 03 26  0259   57107  10740     9.92e+01    1.88e+01    1.65e+01    1.02e+02
2015 03 26  0300   57107  10800     9.90e+01    1.89e+01    1.65e+01    1.02e+02
2015 03 26  0301   57107  10860     9.93e+01    1.89e+01    1.65e+01    1.02e+02
2015 03 26  0302   57107  10920     9.91e+01    1.91e+01    1.65e+01    1.02e+02
2015 03 26  0303   57107  10980     9.92e+01    1.92e+01    1.65e+01    1.02e+02
2015 03 26  0304   57107  11040     9.91e+01    1.91e+01    1.64e+01    1.02e+02
2015 03 26  0305   57107  11100     9.90e+01    1.91e+01    1.64e+01    1.02e+02
2015 03 26  0306   57107  11160     9.90e+01    1.91e+01    1.65e+01    1.02e+02
2015 03 26  0307   57107  11220     9.87e+01    1.90e+01    1.65e+01    1.02e+02
2015 03 26  0308   57107  11280     9.90e+01    1.90e+01    1.65e+01    1.02e+02
2015 03 26  0309   57107  11340     9.90e+01    1.90e+01    1.65e+01    1.02e+02
2015 03 26  0310   57107  11400     9.90e+01    1.91e+01    1.65e+01    1.02e+02
2015 03 26  0311   57107  11460     9.89e+01    1.90e+01    1.65e+01    1.02e+02
2015 03 26  0312   57107  11520     9.88e+01    1.90e+01    1.66e+01    1.02e+02
2015 03 26  0313   57107  11580     9.86e+01    1.90e+01    1.64e+01    1.02e+02
2015 03 26  0314   57107  11640     9.85e+01    1.90e+01    1.62e+01    1.02e+02
2015 03 26  0315   57107  11700     9.84e+01    1.90e+01    1.62e+01    1.02e+02
2015 03 26  0316   57107  11760     9.84e+01    1.89e+01    1.61e+01    1.02e+02
2015 03 26  0317   57107  11820     9.83e+01    1.89e+01    1.62e+01    1.01e+02
2015 03 26  0318   57107  11880     9.79e+01    1.87e+01    1.62e+01    1.01e+02
2015 03 26  0319   57107  11940     9.79e+01    1.87e+01    1.61e+01    1.01e+02
2015 03 26  0320   57107  12000     9.74e+01    1.86e+01    1.59e+01    1.00e+02
2015 03 26  0321   57107  12060     9.78e+01    1.86e+01    1.60e+01    1.01e+02
2015 03 26  0322   57107  12120     9.77e+01    1.87e+01    1.61e+01    1.01e+02
2015 03 26  0323   57107  12180     9.71e+01    1.87e+01    1.60e+01    1.00e+02
2015 03 26  0324   57107  12240     9.76e+01    1.88e+01    1.59e+01    1.01e+02
2015 03 26  0325   57107  12300     9.81e+01    1.89e+01    1.61e+01    1.01e+02
2015 03 26  0326   57107  12360     9.83e+01    1.89e+01    1.62e+01    1.01e+02
2015 03 26  0327   57107  12420     9.83e+01    1.89e+01    1.62e+01    1.01e+02
2015 03 26  0328   57107  12480     9.83e+01    1.89e+01    1.62e+01    1.01e+02
2015 03 26  0329   57107  12540     9.83e+01    1.89e+01    1.64e+01    1.01e+02
2015 03 26  0330   57107  12600     9.80e+01    1.89e+01    1.65e+01    1.01e+02
2015 03 26  0331   57107  12660     9.78e+01    1.88e+01    1.65e+01    1.01e+02
2015 03 26  0332   57107  12720     9.77e+01    1.88e+01    1.64e+01    1.01e+02
2015 03 26  0333   57107  12780     9.77e+01    1.87e+01    1.64e+01    1.01e+02
2015 03 26  0334   57107  12840     9.77e+01    1.86e+01    1.65e+01    1.01e+02
2015 03 26  0335   57107  12900     9.77e+01    1.86e+01    1.65e+01    1.01e+02
2015 03 26  0336   57107  12960     9.73e+01    1.85e+01    1.64e+01    1.00e+02
2015 03 26  0337   57107  13020     9.73e+01    1.85e+01    1.64e+01    1.00e+02
2015 03 26  0338   57107  13080     9.72e+01    1.85e+01    1.64e+01    1.00e+02
2015 03 26  0339   57107  13140     9.72e+01    1.86e+01    1.64e+01    1.00e+02
2015 03 26  0340   57107  13200     9.72e+01    1.87e+01    1.64e+01    1.00e+02
2015 03 26  0341   57107  13260     9.72e+01    1.87e+01    1.64e+01    1.00e+02
2015 03 26  0342   57107  13320     9.72e+01    1.86e+01    1.64e+01    1.00e+02
2015 03 26  0343   57107  13380     9.70e+01    1.85e+01    1.65e+01    1.00e+02
2015 03 26  0344   57107  13440     9.66e+01    1.87e+01    1.65e+01    9.97e+01
2015 03 26  0345   57107  13500     9.63e+01    1.88e+01    1.64e+01    9.95e+01
2015 03 26  0346   57107  13560     9.64e+01    1.88e+01    1.64e+01    9.95e+01
2015 03 26  0347   57107  13620     9.62e+01    1.88e+01    1.65e+01    9.94e+01
2015 03 26  0348   57107  13680     9.62e+01    1.89e+01    1.65e+01    9.94e+01
2015 03 26  0349   57107  13740     9.59e+01    1.88e+01    1.63e+01    9.91e+01
2015 03 26  0350   57107  13800     9.55e+01    1.88e+01    1.61e+01    9.86e+01
2015 03 26  0351   57107  13860     9.55e+01    1.88e+01    1.61e+01    9.87e+01
2015 03 26  0352   57107  13920     9.53e+01    1.88e+01    1.57e+01    9.84e+01
2015 03 26  0353   57107  13980     9.57e+01    1.89e+01    1.57e+01    9.88e+01
2015 03 26  0354   57107  14040     9.53e+01    1.89e+01    1.57e+01    9.85e+01
2015 03 26  0355   57107  14100     9.56e+01    1.90e+01    1.57e+01    9.87e+01
2015 03 26  0356   57107  14160     9.58e+01    1.91e+01    1.57e+01    9.90e+01
2015 03 26  0357   57107  14220     9.57e+01    1.91e+01    1.57e+01    9.88e+01
2015 03 26  0358   57107  14280     9.54e+01    1.91e+01    1.57e+01    9.86e+01
2015 03 26  0359   57107  14340     9.54e+01    1.91e+01    1.56e+01    9.85e+01
2015 03 26  0400   57107  14400     9.52e+01    1.91e+01    1.56e+01    9.84e+01
2015 03 26  0401   57107  14460     9.51e+01    1.89e+01    1.55e+01    9.82e+01
2015 03 26  0402   57107  14520     9.53e+01    1.88e+01    1.56e+01    9.84e+01
2015 03 26  0403   57107  14580     9.50e+01    1.87e+01    1.56e+01    9.80e+01
2015 03 26  0404   57107  14640     9.46e+01    1.90e+01    1.56e+01    9.78e+01
2015 03 26  0405   57107  14700     9.52e+01    1.90e+01    1.57e+01    9.84e+01
2015 03 26  0406   57107  14760     9.53e+01    1.90e+01    1.57e+01    9.84e+01
2015 03 26  0407   57107  14820     9.54e+01    1.89e+01    1.61e+01    9.85e+01
2015 03 26  0408   57107  14880     9.52e+01    1.91e+01    1.63e+01    9.85e+01
2015 03 26  0409   57107  14940     9.50e+01    1.91e+01    1.62e+01    9.83e+01
2015 03 26  0410   57107  15000     9.47e+01    1.91e+01    1.62e+01    9.80e+01
2015 03 26  0411   57107  15060     9.41e+01    1.90e+01    1.62e+01    9.74e+01
2015 03 26  0412   57107  15120     9.34e+01    1.90e+01    1.61e+01    9.67e+01
2015 03 26  0413   57107  15180     9.30e+01    1.92e+01    1.58e+01    9.63e+01
2015 03 26  0414   57107  15240     9.28e+01    1.93e+01    1.57e+01    9.60e+01
2015 03 26  0415   57107  15300     9.31e+01    1.94e+01    1.55e+01    9.63e+01
2015 03 26  0416   57107  15360     9.30e+01    1.99e+01    1.54e+01    9.64e+01
2015 03 26  0417   57107  15420     9.27e+01    1.99e+01    1.54e+01    9.60e+01
2015 03 26  0418   57107  15480     9.33e+01    1.97e+01    1.53e+01    9.66e+01
2015 03 26  0419   57107  15540     9.32e+01    1.95e+01    1.51e+01    9.64e+01
2015 03 26  0420   57107  15600     9.30e+01    1.95e+01    1.50e+01    9.62e+01
2015 03 26  0421   57107  15660     9.30e+01    1.94e+01    1.51e+01    9.62e+01
2015 03 26  0422   57107  15720     9.31e+01    1.92e+01    1.51e+01    9.63e+01
2015 03 26  0423   57107  15780     9.31e+01    1.90e+01    1.50e+01    9.62e+01
2015 03 26  0424   57107  15840     9.29e+01    1.90e+01    1.52e+01    9.60e+01
2015 03 26  0425   57107  15900     9.26e+01    1.90e+01    1.53e+01    9.58e+01
2015 03 26  0426   57107  15960     9.21e+01    1.91e+01    1.51e+01    9.52e+01
2015 03 26  0427   57107  16020     9.17e+01    1.92e+01    1.49e+01    9.49e+01
2015 03 26  0428   57107  16080     9.16e+01    1.91e+01    1.50e+01    9.48e+01
2015 03 26  0429   57107  16140     9.14e+01    1.91e+01    1.49e+01    9.46e+01
2015 03 26  0430   57107  16200     9.12e+01    1.90e+01    1.49e+01    9.43e+01
2015 03 26  0431   57107  16260     9.08e+01    1.89e+01    1.44e+01    9.38e+01
2015 03 26  0432   57107  16320     9.06e+01    1.90e+01    1.43e+01    9.37e+01
2015 03 26  0433   57107  16380     9.04e+01    1.90e+01    1.42e+01    9.35e+01
2015 03 26  0434   57107  16440     9.01e+01    1.89e+01    1.41e+01    9.32e+01
2015 03 26  0435   57107  16500     8.98e+01    1.87e+01    1.40e+01    9.28e+01
2015 03 26  0436   57107  16560     8.95e+01    1.86e+01    1.39e+01    9.24e+01
2015 03 26  0437   57107  16620     8.92e+01    1.86e+01    1.39e+01    9.21e+01
2015 03 26  0438   57107  16680     8.90e+01    1.86e+01    1.39e+01    9.19e+01
2015 03 26  0439   57107  16740     8.89e+01    1.87e+01    1.38e+01    9.19e+01
2015 03 26  0440   57107  16800     8.90e+01    1.86e+01    1.38e+01    9.20e+01
2015 03 26  0441   57107  16860     8.88e+01    1.87e+01    1.37e+01    9.18e+01
2015 03 26  0442   57107  16920     8.89e+01    1.87e+01    1.37e+01    9.19e+01
2015 03 26  0443   57107  16980     8.89e+01    1.89e+01    1.37e+01    9.19e+01
2015 03 26  0444   57107  17040     8.87e+01    1.92e+01    1.36e+01    9.18e+01
2015 03 26  0445   57107  17100     8.85e+01    1.92e+01    1.35e+01    9.16e+01
2015 03 26  0446   57107  17160     8.85e+01    1.94e+01    1.37e+01    9.16e+01
2015 03 26  0447   57107  17220     8.82e+01    1.97e+01    1.38e+01    9.15e+01
2015 03 26  0448   57107  17280     8.78e+01    1.97e+01    1.37e+01    9.10e+01
2015 03 26  0449   57107  17340     8.75e+01    1.98e+01    1.36e+01    9.07e+01
2015 03 26  0450   57107  17400     8.73e+01    1.97e+01    1.35e+01    9.05e+01
2015 03 26  0451   57107  17460     8.71e+01    1.97e+01    1.35e+01    9.03e+01
2015 03 26  0452   57107  17520     8.68e+01    1.98e+01    1.36e+01    9.01e+01
2015 03 26  0453   57107  17580     8.67e+01    1.97e+01    1.36e+01    8.99e+01
2015 03 26  0454   57107  17640     8.64e+01    2.00e+01    1.33e+01    8.96e+01
2015 03 26  0455   57107  17700     8.63e+01    2.00e+01    1.33e+01    8.96e+01
2015 03 26  0456   57107  17760     8.62e+01    2.01e+01    1.34e+01    8.95e+01
2015 03 26  0457   57107  17820     8.61e+01    2.03e+01    1.33e+01    8.94e+01
2015 03 26  0458   57107  17880     8.59e+01    2.01e+01    1.32e+01    8.92e+01
2015 03 26  0459   57107  17940     8.54e+01    2.05e+01    1.32e+01    8.88e+01
2015 03 26  0500   57107  18000     8.52e+01    2.07e+01    1.31e+01    8.87e+01
